a 	啊	c=36 d=1.2806 t=40209
wo ke 	我可	c=3 d=0.0007 t=40209
wo ke neng 	我可能	c=1 d=0.0005 t=76495
wo ke shi 	我可是	c=1 d=0.0005 t=76495
wo ke yi 	我可以	c=3 d=0.0283 t=76495
wo ken ding 	我肯定	c=1 d=0.0005 t=76495
wo la chang 	我拉長	c=1 d=0.0005 t=76495
wo lai 	我來	c=11 d=0.0365 t=76495
wo lai 	我来	c=2 d=0.1385 t=3923
wo lai fa 	我來發	c=1 d=0.0005 t=76495
wo lai gai 	我來改	c=3 d=0.0005 t=76495
wo lai le 	我来了	c=1 d=0.0309 t=3923
wo lai mai 	我來買	c=1 d=0.0141 t=76495
wo lai wo lai 	我來我來	c=1 d=0.0005 t=76495
wo lai zheng 	我來整	c=1 d=0.0005 t=76495
wo lan de 	我懒得	c=1 d=0.2365 t=3923
wo lan ze 	我懶則	c=1 d=0.0005 t=76495
wo le 	我了	c=4 d=0.6983 t=76495
wo lie kai 	我裂開	c=2 d=0.0765 t=76495
wo luo dao 	我落到	c=1 d=0.0616 t=3923
wo ma 	我妈	c=1 d=0.2172 t=3923
wo ma 	我媽	c=3 d=0.0005 t=76495
wo mai le 	我买了	c=2 d=0.1215 t=40209
wo mei 	我妹	c=1 d=0.0005 t=76495
wo mei 	我沒	c=6 d=0.4698 t=76495
wo mei 	我没	c=1 d=0.0899 t=3923
wo mei dian ma 	我没点吗	c=1 d=0.9032 t=3923
wo mei duo da 	我没多大	c=1 d=0.0005 t=76495
wo mei fa 	我没法	c=1 d=0.0005 t=76495
wo mei hao 	我沒號	c=1 d=0.0005 t=76495
wo mei jia 	我没加	c=1 d=1.0921 t=3923
wo mei shi 	我没事	c=1 d=0.0005 t=76495
wo mei shuo 	我没说	c=2 d=0.0005 t=76495
wo mei tian 	我每天	c=2 d=0.0005 t=76495
wo mei you 	我沒有	c=1 d=0.0005 t=76495
wo mei you 	我没有	c=1 d=0.0036 t=3923
wo mei zuo 	我沒做	c=1 d=0.1891 t=76495
wo men 	我们	c=7 d=2.9124 t=3923
wo men 	我們	c=105 d=4.6949 t=76495
wo men de 	我們的	c=1 d=0.0059 t=76495
wo men yong de 	我们用的	c=1 d=0.0002 t=3923
wo ming tian 	我明天	c=2 d=0.0412 t=3923
wo ne 	我呢	c=1 d=0.0005 t=76495
wo ne ti 	我呢提	c=3 d=3.7979 t=76495
wo neng 	我能	c=1 d=0.0005 t=76495
wo neng bu neng 	我能不能	c=1 d=0.3306 t=3923
wo neng gou 	我能夠	c=1 d=0.0005 t=76495
wo ni men 	我你們	c=1 d=0.0005 t=76495
wo pa 	我怕	c=5 d=1.1660 t=40209
wo pa ta 	我怕他	c=1 d=0.0005 t=76495
wo pai cha 	我排查	c=1 d=0.0005 t=76495
wo pang bian 	我旁邊	c=1 d=1.0402 t=76495
wo po qie 	我迫切	c=1 d=0.4628 t=76495
wo qi dian 	我七點	c=1 d=0.0005 t=76495
wo qi ma 	我起码	c=1 d=0.0005 t=76495
wo qu 	我去	c=2 d=0.9876 t=40209
wo rang 	我让	c=19 d=0.4011 t=76495
wo rang ni 	我让你	c=1 d=0.0005 t=76495
wo rang ta 	我让他	c=6 d=0.0005 t=76495
wo ren 	我人	c=3 d=0.0773 t=76495
wo ren dou ma le 	我人都麻了	c=1 d=0.0156 t=3923
wo ren shi 	我认识	c=1 d=0.0005 t=76495
wo ren wei 	我認爲	c=1 d=0.0005 t=76495
wo ri 	我日	c=2 d=0.0664 t=40209
wo ri ni 	我日你	c=1 d=0.6624 t=3923
wo ru chang 	我入场	c=1 d=1.6958 t=3923
wo shang qu 	我上去	c=1 d=0.0005 t=76495
wo shi 	我市	c=1 d=0.0005 t=76495
wo shi 	我是	c=11 d=1.4282 t=40209
wo shi bu shi 	我是不是	c=1 d=1.5891 t=3923
wo shi fen 	我十分	c=1 d=0.0005 t=76495
wo shi fou 	我是否	c=1 d=0.0005 t=76495
wo shi le 	我试了	c=1 d=0.7358 t=3923
wo shi shi 	我试试	c=3 d=4.9502 t=76495
wo shi xia 	我试下	c=2 d=0.0005 t=76495
wo shou 	握手	c=1 d=0.0005 t=76495
wo shou bu liao 	我受不了	c=1 d=0.0005 t=76495
wo shou dao 	我收到	c=1 d=0.0005 t=76495
wo shou ji 	我手機	c=1 d=0.0005 t=76495
wo shuo 	我說	c=7 d=0.0620 t=76495
wo shuo 	我说	c=1 d=0.0002 t=3923
wo shuo de 	我说的	c=1 d=0.0005 t=76495
wo ta ma 	卧榻马	c=1 d=3.9926 t=76495
wo ta ma 	我他妈	c=6 d=0.0005 t=76495
wo te bie 	我特別	c=1 d=0.0005 t=76495
wo te me 	我特么	c=1 d=1.3207 t=3923
wo tie ding 	我鐵定	c=1 d=0.0005 t=76495
wo ting 	我听	c=1 d=0.0043 t=3923
wo ting bu jian 	我听不见	c=1 d=0.1298 t=3923
wo ting jian 	我听见	c=1 d=0.0497 t=3923
wo tu ran 	我突然	c=1 d=0.0005 t=76495
wo tui 	我推	c=1 d=0.0002 t=3923
wo wang 	我往	c=1 d=0.0005 t=76495
wo wang ji 	我忘记	c=1 d=1.2253 t=3923
wo wang le 	我忘了	c=2 d=1.2505 t=40209
wo wei ni 	我喂你	c=1 d=0.0005 t=76495
wo wen le 	我问了	c=0 d=0.0005 t=76495
wo wen le ta 	我问了他	c=1 d=0.0005 t=76495
wo wen ni 	我问你	c=1 d=0.7620 t=3923
wo wen ta 	我问他	c=1 d=0.0005 t=76495
wo wen wen 	我问问	c=2 d=2.9875 t=76495
wo wen xia 	我问下	c=4 d=0.0336 t=76495
wo xi huan 	我喜欢	c=5 d=4.8855 t=40209
wo xi zao 	我洗澡	c=1 d=1.2516 t=76495
wo xia ci 	我下次	c=1 d=1.1713 t=3923
wo xian 	我先	c=13 d=7.2575 t=40209
wo xian ba 	我先把	c=1 d=0.0005 t=76495
wo xian qu 	我先去	c=1 d=2.0000 t=3644
wo xian zai 	我现在	c=11 d=5.2314 t=40209
wo xian zai jiu yao 	我现在就要	c=1 d=0.0005 t=76495
wo xian zou 	我先走	c=1 d=0.0005 t=76495
wo xiang 	我想	c=5 d=1.4007 t=40209
wo xiang ban fa 	我想辦法	c=1 d=0.0005 t=76495
wo xiang huan shou ji 	我想换手机	c=1 d=0.0040 t=3923
wo xiang qi lai le 	我想起来了	c=1 d=0.0011 t=76495
wo xiang rang 	我想让	c=1 d=0.8296 t=3923
wo xiang xiang 	我想像	c=1 d=0.0005 t=76495
wo xiang za 	我想咋	c=1 d=0.0005 t=76495
wo xiang zhe 	我想着	c=2 d=1.7305 t=40209
wo xie 	我写	c=0 d=0.1003 t=3923
wo xie 	我寫	c=1 d=0.0005 t=76495
wo xie de 	我写的	c=2 d=1.9449 t=40209
wo xie guo 	我寫過	c=1 d=0.7330 t=76495
wo xie hao le 	我写好了	c=1 d=0.0005 t=76495
wo xie sha 	我写啥	c=1 d=1.0082 t=3923
wo xie xie ni 	我謝謝你	c=1 d=0.0005 t=76495
wo xing 	我行	c=0 d=0.0890 t=3923
wo xing li 	我行李	c=1 d=0.8942 t=3923
wo xiu yi bo 	我修一撥	c=1 d=0.0005 t=76495
wo xu yao 	我需要	c=4 d=1.1147 t=40209
wo xue ya 	我血壓	c=1 d=0.0005 t=76495
wo xun si zhe 	我尋思着	c=1 d=0.1958 t=76495
wo yao 	我要	c=17 d=4.3514 t=40209
wo yao ba ta 	我要把它	c=1 d=0.2640 t=3923
wo yao kan 	我要看	c=1 d=0.0005 t=76495
wo ye 	我也	c=20 d=3.8418 t=40209
wo ye dei 	我也得	c=1 d=0.0005 t=76495
wo ye jiu 	我也就	c=1 d=0.0005 t=76495
wo ye jue de 	我也觉得	c=2 d=0.3714 t=76495
wo ye shi 	我也是	c=1 d=0.2333 t=76495
wo ye shou dao le 	我也收到了	c=1 d=0.0005 t=76495
wo ye xiang 	我也想	c=1 d=0.0005 t=76495
wo ye yi yang 	我也一样	c=1 d=0.0005 t=76495
wo yi ban 	我一般	c=1 d=0.0043 t=76495
wo yi ge ge 	我一個個	c=1 d=0.0005 t=76495
wo yi ge yue 	我一個月	c=1 d=0.0005 t=76495
wo yi jing 	我已经	c=18 d=1.2339 t=40209
wo yi wei 	我以为	c=1 d=0.0005 t=76495
wo yi zhi 	我一直	c=2 d=0.0145 t=40209
wo yi zhi 	我移植	c=1 d=0.0005 t=76495
wo yi zhi yi wei 	我一直以为	c=1 d=0.0005 t=76495
wo yi zhi zai 	我一直在	c=1 d=0.0005 t=76495
wo ying gai 	我应该	c=2 d=0.0005 t=76495
wo yong 	我用	c=0 d=0.0005 t=76495
wo yong wan 	我用完	c=1 d=0.0005 t=76495
wo you 	我有	c=3 d=0.2005 t=40090
wo you 	握有	c=1 d=0.0005 t=76495
wo you da suan 	我有打算	c=1 d=2.0000 t=3686
wo you dian 	我有点	c=3 d=0.0005 t=76495
wo you yi ping 	我有一瓶	c=1 d=0.0005 t=76495
wo yuan ben 	我原本	c=1 d=1.5576 t=3923
wo za 	我咋	c=3 d=0.0025 t=40209
wo za ke neng 	我咋可能	c=1 d=0.0005 t=76495
wo za yao 	我咋要	c=1 d=0.0203 t=3923
wo zai 	我再	c=4 d=0.4816 t=76495
wo zai 	我在	c=21 d=6.2739 t=40209
wo zai 	臥在	c=1 d=0.0005 t=76495
wo zai gai 	我在改	c=1 d=0.0005 t=76495
wo zai lai 	我再来	c=1 d=1.9409 t=3923
wo zai pao 	我在跑	c=1 d=0.5290 t=3923
wo zai shi xia 	我再試下	c=1 d=0.0005 t=76495
wo zai xiang 	我在想	c=4 d=0.4721 t=76495
wo zai zhe li 	我在这里	c=1 d=0.0005 t=76495
wo zen me 	我怎么	c=4 d=0.0005 t=76495
wo zhao zhao 	我找找	c=1 d=0.0005 t=76495
wo zhe 	我這	c=2 d=0.0005 t=76495
wo zhe bi jiao lang 	我這比較浪	c=1 d=0.0005 t=76495
wo zhe bian 	我这边	c=9 d=0.1587 t=76495
wo zhe ge 	我这个	c=2 d=0.0017 t=76495
wo zhe li 	我这里	c=89 d=2.0416 t=40209
wo zhe li de 	我这里的	c=1 d=0.0174 t=76495
wo zhe shi 	我这事	c=1 d=0.0376 t=76495
wo zhe ye 	我这也	c=1 d=2.0000 t=3751
wo zhei li 	我這裏	c=1 d=0.0005 t=76495
wo zhi bu guo 	我只不過	c=1 d=0.0005 t=76495
wo zhi dao 	我知道	c=9 d=0.0005 t=76495
wo zhi dao le 	我知道了	c=1 d=0.0005 t=76495
wo zhi jie 	我直接	c=3 d=0.1417 t=40209
wo zhi neng 	我只能	c=1 d=1.1045 t=76495
wo zhi shi 	我只是	c=1 d=0.0005 t=76495
wo zhi xiang 	我只想	c=1 d=0.5185 t=3923
wo zhi yao 	我只要	c=1 d=0.0005 t=76495
wo zhi you 	我只有	c=1 d=0.0031 t=76495
wo zhi zhi dao 	我只知道	c=2 d=0.0005 t=76495
wo zhou 	沃州	c=1 d=2.0948 t=76495
wo zhu yao 	我主要	c=1 d=0.0005 t=76495
wo zhuan fa 	我转发	c=1 d=1.3677 t=3923
wo zhun bei 	我准备	c=2 d=0.1287 t=76495
wo zi ji 	我自己	c=5 d=1.9316 t=40209
wo zou 	我走	c=3 d=0.5785 t=76495
wo zou qian 	我走前	c=1 d=0.7257 t=76495
wo zou zhi qian 	我走之前	c=1 d=0.0005 t=76495
wo zui duo 	我最多	c=1 d=0.0005 t=76495
wo zuo 	我做	c=2 d=0.0005 t=76495
wo zuo guo 	我做過	c=1 d=1.5991 t=76495
wu 	五	c=3 d=0.0007 t=40209
wu 	勿	c=2 d=2.0005 t=38387
wu 	吳	c=7 d=1.4469 t=76495
wu 	吴	c=1 d=0.7248 t=3923
wu 	屋	c=1 d=0.0005 t=76495
wu 	无	c=2 d=0.0083 t=3923
wu 	無	c=14 d=0.0540 t=76495
wu 	誤	c=0 d=0.0005 t=76495
wu 	鄔	c=1 d=0.4187 t=76495
wu bi 	務必	c=2 d=0.2132 t=76495
wu chan 	無產	c=1 d=0.0005 t=76495
wu chang 	無常	c=0 d=0.0005 t=76495
wu cong xia shou 	無從下手	c=1 d=0.0005 t=76495
wu cuo wu 	无错误	c=1 d=0.0005 t=76495
wu dian 	五點	c=1 d=0.4166 t=76495
wu duan 	無端	c=1 d=0.0008 t=76495
wu dun 	吳敦	c=1 d=0.0005 t=76495
wu fa 	无法	c=4 d=2.9427 t=3923
wu fa 	無法	c=38 d=6.6178 t=76495
wu fa cao zuo 	无法操作	c=1 d=0.0005 t=76495
wu fan 	午飯	c=2 d=0.0005 t=76495
wu fan ying 	无反应	c=2 d=3.6307 t=76495
wu fen ye 	無分頁	c=1 d=0.5430 t=76495
wu fen zhong 	五分鐘	c=9 d=0.0005 t=76495
wu fen zhong 	五分钟	c=1 d=2.0000 t=3766
wu feng xian 	無風險	c=3 d=0.0307 t=76495
wu gan 	无感	c=1 d=0.0005 t=76495
wu ge 	五個	c=2 d=0.0005 t=76495
wu guan 	无关	c=1 d=0.0507 t=3923
wu guan 	無關	c=10 d=1.0145 t=76495
wu hao xian 	五號線	c=1 d=0.0005 t=76495
wu hua rou 	五花肉	c=1 d=0.0005 t=76495
wu ji lu 	無記錄	c=1 d=0.0005 t=76495
wu jia 	物價	c=3 d=0.0005 t=76495
wu jiang 	武將	c=1 d=1.1846 t=76495
wu jie 	誤解	c=1 d=0.0005 t=76495
wu la 	烏拉	c=1 d=0.0005 t=76495
wu lei xing 	無類型	c=1 d=0.0005 t=76495
wu li 	無力	c=2 d=0.0005 t=76495
wu li 	物理	c=5 d=0.0289 t=40209
wu li gui cai 	物理鬼才	c=1 d=0.0005 t=76495
wu li ji shang 	物理機上	c=1 d=0.0005 t=76495
wu liao 	无聊	c=3 d=1.3002 t=3923
wu liu 	物流	c=1 d=1.0705 t=3923
wu liu nian 	五六年	c=0 d=0.4114 t=76495
wu liu nian le 	五六年了	c=1 d=4.1348 t=76495
wu lun 	無論	c=1 d=0.0005 t=76495
wu ma 	無碼	c=1 d=0.3025 t=76495
wu mao qian 	五毛錢	c=1 d=0.0005 t=76495
wu men kan 	无门槛	c=1 d=0.0688 t=3923
wu miao 	五秒	c=1 d=0.0005 t=76495
wu miao shu 	無描述	c=1 d=0.0005 t=76495
wu nai 	無奈	c=0 d=0.0038 t=76495
wu nai dan na 	無奈但那	c=1 d=0.0005 t=76495
wu nai nan ti 	無奈難題	c=1 d=0.0378 t=76495
wu neng 	無能	c=1 d=0.0005 t=76495
wu nian 	五年	c=2 d=0.4674 t=76495
wu pai 	五排	c=1 d=0.0005 t=76495
wu pei zhi 	誤配置	c=1 d=0.0005 t=76495
wu qing 	無情	c=2 d=0.0005 t=76495
wu qiong 	無窮	c=0 d=0.0005 t=76495
wu qiong duo 	無窮多	c=1 d=0.0005 t=76495
wu quan xian 	无权限	c=4 d=0.0011 t=76495
wu ran 	污染	c=5 d=0.0159 t=40209
wu ren 	五人	c=1 d=0.0005 t=76495
wu shi 	无事	c=0 d=0.0002 t=3923
wu shi fa sheng 	无事发生	c=1 d=0.0004 t=3923
wu shui 	午睡	c=2 d=4.1555 t=76495
wu sun 	無損	c=1 d=0.0005 t=76495
wu suo wei 	無所謂	c=4 d=0.5658 t=76495
wu ta 	無他	c=2 d=0.0005 t=76495
wu tian 	五天	c=1 d=0.0005 t=76495
wu tiao 	五條	c=1 d=0.0005 t=76495
wu wei 	无为	c=1 d=0.0002 t=3923
wu wu 	無誤	c=1 d=0.0005 t=76495
wu xian 	無限	c=3 d=0.0005 t=76495
wu xiao 	无效	c=1 d=1.5344 t=3923
wu xiao 	無效	c=5 d=0.0005 t=76495
wu xiao guo 	無效果	c=1 d=0.0005 t=76495
wu xiao shi 	五小時	c=1 d=0.0005 t=76495
wu xing 	五星	c=1 d=0.0005 t=76495
wu xing 	五行	c=1 d=0.0005 t=76495
wu xu 	无需	c=3 d=1.8462 t=3923
wu xu 	無序	c=1 d=0.0005 t=76495
wu xu 	無需	c=6 d=0.0005 t=76495
wu ya li 	无压力	c=1 d=0.0005 t=76495
wu yang 	無氧	c=1 d=0.0005 t=76495
wu yi 	武藝	c=1 d=0.0005 t=76495
wu yi fan 	吳亦凡	c=2 d=0.0005 t=76495
wu yi yi 	無意義	c=1 d=0.0005 t=76495
wu yong 	勿用	c=1 d=0.0005 t=76495
wu yong 	無用	c=4 d=0.0005 t=76495
wu yu li 	吳宇立	c=1 d=0.0005 t=76495
wu zhe 	捂着	c=1 d=0.0389 t=76495
wu zhi 	物質	c=2 d=0.0005 t=76495
wu zhi 	物质	c=1 d=0.3690 t=3923
wu zhong 	物種	c=2 d=0.0005 t=76495
wu zhong xing 	無種姓	c=1 d=0.0005 t=76495
wu zhuang 	武裝	c=1 d=0.0005 t=76495
xi 	习	c=1 d=4.6853 t=76495
xi 	熙	c=1 d=0.0804 t=76495
xi 	系	c=3 d=2.9675 t=40209
xi ai 	喜愛	c=1 d=0.0005 t=76495
xi bao 	細胞	c=1 d=0.0005 t=76495
xi bu shu ju 	西部数据	c=1 d=0.0008 t=76495
xi fang 	西方	c=1 d=0.0005 t=76495
xi fei 	西非	c=1 d=0.0005 t=76495
xi gua 	西瓜	c=1 d=0.0005 t=76495
xi gua zi 	西瓜子	c=1 d=0.0005 t=76495
xi guan 	习惯	c=1 d=0.9981 t=3923
xi guan 	習慣	c=4 d=3.5946 t=76495
xi guan le 	习惯了	c=1 d=0.3943 t=76495
xi hua 	細化	c=1 d=0.0005 t=76495
xi huan 	喜欢	c=2 d=1.9120 t=3923
xi huan 	喜歡	c=13 d=1.0196 t=76495
xi jiao 	洗腳	c=1 d=0.4628 t=76495
xi jie 	細節	c=5 d=0.0005 t=76495
xi kan 	細看	c=1 d=0.0005 t=76495
xi la zi mu 	希臘字母	c=1 d=0.0005 t=76495
xi lan hua 	西蘭花	c=1 d=0.0005 t=76495
xi le 	吸了	c=1 d=0.0005 t=76495
xi le 	洗了	c=1 d=0.0005 t=76495
xi liang 	西涼	c=0 d=0.1271 t=76495
xi liang jun 	西涼軍	c=1 d=1.2769 t=76495
xi lie 	系列	c=1 d=3.0175 t=76495
xi lie 	鰓裂	c=2 d=5.9900 t=76495
xi ma la ya 	喜瑪拉雅	c=1 d=2.6763 t=76495
xi na 	吸納	c=0 d=0.0005 t=76495
xi nan 	西南	c=1 d=1.2330 t=76495
xi ni 	細膩	c=1 d=0.0005 t=76495
xi ni xian 	系你先	c=2 d=0.0005 t=76495
xi ou 	西歐	c=2 d=0.0005 t=76495
xi qiu 	希求	c=1 d=0.0005 t=76495
xi qun 	錫羣	c=8 d=1.1547 t=76495
xi shang 	洗上	c=1 d=0.0005 t=76495
xi sheng 	犧牲	c=2 d=0.0005 t=76495
xi tong 	系統	c=78 d=1.4563 t=76495
xi tong 	系统	c=2 d=0.7021 t=3923
xi tong gei 	系統給	c=2 d=0.0005 t=76495
xi tong zhong 	系统中	c=1 d=0.0005 t=76495
xi wan zao 	洗完澡	c=1 d=0.5759 t=3923
xi wang 	希望	c=8 d=0.0005 t=76495
xi wen le jian 	喜聞樂見	c=2 d=1.0095 t=76495
xi xi 	細細	c=1 d=0.0005 t=76495
xi xi ni 	細細你	c=3 d=0.0005 t=76495
xi ya 	西亞	c=0 d=0.0005 t=76495
xi yang ji 	吸氧机	c=1 d=0.7931 t=3923
xi yi fu 	洗衣服	c=2 d=0.0005 t=76495
xi yi xi 	洗一洗	c=0 d=0.0005 t=76495
xi yi xi a 	洗一洗啊	c=1 d=0.0005 t=76495
xi yi ye 	洗衣液	c=1 d=0.0005 t=76495
xi yin 	吸引	c=1 d=0.0005 t=76495
xi you 	吸油	c=1 d=0.0005 t=76495
xi zang 	西藏	c=2 d=0.0128 t=76495
xi zao 	洗澡	c=1 d=0.7004 t=40209
xia 	下	c=198 d=14.1385 t=40209
xia 	嚇	c=1 d=4.3521 t=76495
xia 	峽	c=1 d=0.0005 t=76495
xia 	轄	c=1 d=0.0005 t=76495
xia 	霞	c=1 d=0.0005 t=76495
xia ba 	下巴	c=3 d=0.9740 t=40209
xia ba ba 	嚇粑粑	c=1 d=4.0126 t=76495
xia ban 	下班	c=9 d=1.9476 t=40209
xia ban le 	下班了	c=1 d=0.0005 t=76495
xia ban qian 	下班前	c=3 d=5.0089 t=76495
xia biao 	下表	c=1 d=0.2413 t=3923
xia bu liao 	下不了	c=1 d=2.7995 t=76495
xia ci 	下次	c=25 d=5.2064 t=40209
xia ci 	瑕疵	c=0 d=0.0005 t=76495
xia de 	下的	c=2 d=0.0005 t=76495
xia diao 	下掉	c=3 d=0.0005 t=76495
xia fa 	下發	c=12 d=3.7041 t=76495
xia fang 	下放	c=1 d=0.0005 t=76495
xia fang 	瞎放	c=1 d=0.0005 t=76495
xia ge 	下個	c=1 d=0.0005 t=76495
xia ge yue 	下個月	c=1 d=0.0005 t=76495
xia guang 	瞎逛	c=1 d=0.0005 t=76495
xia hua xian 	下劃線	c=13 d=0.0005 t=76495
xia huo yao 	下火藥	c=1 d=0.0005 t=76495
xia ji 	下級	c=1 d=0.0005 t=76495
xia ji er 	瞎鸡儿	c=1 d=0.8463 t=3923
xia jie duan 	下階段	c=1 d=0.0005 t=76495
xia lai 	下來	c=12 d=5.1109 t=76495
xia lai guo 	下來過	c=1 d=0.7941 t=76495
xia le 	瞎了	c=0 d=0.0060 t=76495
xia luo 	下落	c=1 d=0.0005 t=76495
xia mian 	下面	c=2 d=1.9506 t=3923
xia mian 	下麪	c=17 d=4.8592 t=76495
xia mian 	夏眠	c=1 d=0.0005 t=76495
xia nong 	瞎弄	c=1 d=0.0005 t=76495
xia pian 	下片	c=1 d=0.0005 t=76495
xia qu 	下去	c=3 d=0.0632 t=40209
xia shuo 	瞎說	c=1 d=0.0005 t=76495
xia wo 	吓我	c=1 d=0.0005 t=76495
xia wu 	下午	c=21 d=0.7034 t=40209
xia wu cha 	下午茶	c=1 d=0.0005 t=76495
xia xian 	下線	c=12 d=0.0411 t=76495
xia xian le 	下線了	c=1 d=0.0005 t=76495
xia yao 	下藥	c=1 d=0.0005 t=76495
xia yi 	下一	c=0 d=0.0005 t=76495
xia yi ban ben 	下一版本	c=1 d=0.0005 t=76495
xia yi bo 	下一波	c=2 d=0.0005 t=76495
xia yi bu 	下一步	c=2 d=0.0005 t=76495
xia yi ci 	下一次	c=3 d=0.0005 t=76495
xia yi ge 	下一个	c=2 d=0.4288 t=3923
xia yi ge 	下一個	c=2 d=2.9875 t=76495
xia yi lun 	下一轮	c=3 d=0.0005 t=76495
xia yi pi 	下一批	c=1 d=0.0005 t=76495
xia yi tiao 	嚇一跳	c=2 d=0.0645 t=76495
xia yi xia 	下一下	c=1 d=0.0005 t=76495
xia yi ye 	下一頁	c=1 d=0.0005 t=76495
xia yi zu 	下一組	c=1 d=0.0005 t=76495
xia you 	下游	c=7 d=0.0005 t=76495
xia yu 	下雨	c=1 d=0.0492 t=3923
xia zai 	下載	c=62 d=6.5010 t=76495
xia zai 	下载	c=9 d=3.3748 t=3923
xia zhou 	下周	c=0 d=0.0202 t=3923
xia zhou 	下週	c=3 d=1.4910 t=76495
xia zhou er 	下周二	c=1 d=0.2025 t=3923
xia zhou wu 	下週五	c=1 d=0.0005 t=76495
xia zhou yi 	下週一	c=1 d=0.0005 t=76495
xia zi ji 	嚇自己	c=1 d=0.0005 t=76495
xian 	先	c=157 d=6.9974 t=40209
xian 	現	c=1 d=0.0005 t=76495
xian 	線	c=5 d=0.0005 t=76495
xian 	閒	c=1 d=3.3182 t=76495
xian 	限	c=1 d=0.0005 t=76495
xian 	鹹	c=1 d=0.0005 t=76495
xian ba 	先把	c=2 d=0.0005 t=76495
xian bu 	先不	c=1 d=0.0005 t=76495
xian bu geng 	先不更	c=1 d=0.0005 t=76495
xian cha 	先查	c=1 d=0.0005 t=76495
xian cha xun 	先查詢	c=1 d=0.0005 t=76495
xian chang 	現場	c=7 d=0.0005 t=76495
xian cheng 	現成	c=9 d=0.2514 t=76495
xian cheng 	線程	c=2 d=0.0005 t=76495
xian de 	顯得	c=1 d=0.0005 t=76495
xian de 	鹹的	c=1 d=0.0062 t=76495
xian de huang 	闲得慌	c=1 d=0.0005 t=76495
xian dei 	先得	c=1 d=0.0005 t=76495
xian ding 	限定	c=3 d=0.0005 t=76495
xian gei 	先给	c=1 d=0.0002 t=3923
xian he 	先合	c=1 d=0.0005 t=76495
xian jue tiao jian 	先決條件	c=1 d=0.0005 t=76495
xian ka 	顯卡	c=3 d=2.8418 t=76495
xian kan 	先看	c=6 d=0.0059 t=40209
xian lai 	先來	c=1 d=0.0005 t=76495
xian le yi dian 	閒了一点	c=1 d=0.0005 t=76495
xian liu 	限流	c=3 d=0.0005 t=76495
xian pang 	顯胖	c=1 d=0.0005 t=76495
xian pin 	限頻	c=52 d=0.0005 t=76495
xian ping 	限蘋	c=1 d=0.0005 t=76495
xian qi 	嫌棄	c=1 d=0.0005 t=76495
xian qu 	先去	c=1 d=0.0005 t=76495
xian ran 	顯然	c=1 d=0.0005 t=76495
xian rang 	先讓	c=2 d=0.0005 t=76495
xian rang ta 	先讓他	c=2 d=0.0005 t=76495
xian ren 	先人	c=1 d=0.6657 t=3923
xian shang 	線上	c=7 d=0.3428 t=76495
xian shang 	线上	c=2 d=0.1711 t=3923
xian sheng 	先生	c=1 d=0.4208 t=76495
xian shi 	显示	c=2 d=0.0002 t=3923
xian shi 	現實	c=2 d=0.3086 t=76495
xian shi 	限時	c=1 d=0.0005 t=76495
xian shi 	顯示	c=48 d=0.3640 t=76495
xian shi ping 	顯示屏	c=1 d=0.0005 t=76495
xian shi xia 	先試下	c=1 d=0.0005 t=76495
xian shi xian 	先實現	c=2 d=0.0005 t=76495
xian su 	限速	c=1 d=0.0005 t=76495
xian suo 	線索	c=1 d=0.0005 t=76495
xian wei 	纖維	c=1 d=0.0005 t=76495
xian xia 	閒暇	c=1 d=0.0005 t=76495
xian xiang 	現象	c=2 d=0.0005 t=76495
xian xie 	險些	c=1 d=0.0005 t=76495
xian xing dai shu 	線性代數	c=1 d=0.0005 t=76495
xian yi 	嫌疑	c=1 d=0.0005 t=76495
xian yong 	先用	c=1 d=0.0005 t=76495
xian yong 	現用	c=2 d=0.0005 t=76495
xian you 	現有	c=2 d=0.0120 t=76495
xian yu 	先于	c=1 d=0.4645 t=3923
xian yu 	咸鱼	c=1 d=2.0000 t=3695
xian yu 	闲鱼	c=1 d=0.6024 t=3923
xian yu 	鹹魚	c=1 d=0.0005 t=76495
xian zai 	先在	c=1 d=0.0005 t=76495
xian zai 	现在	c=17 d=1.0382 t=3923
xian zai 	現在	c=257 d=5.8583 t=76495
xian zai shi 	现在是	c=1 d=0.0002 t=3923
xian zhe yang 	先这样	c=3 d=0.0005 t=76495
xian zhe yang ba 	先這樣吧	c=1 d=0.0005 t=76495
xian zhi 	限制	c=31 d=6.8404 t=40209
xian zhi le 	限制了	c=1 d=0.0005 t=76495
xian zhu 	顯著	c=1 d=0.0005 t=76495
xian zi 	仙子	c=1 d=0.0005 t=76495
xian zi a 	仙子啊	c=3 d=0.0005 t=76495
xian zou 	先走	c=0 d=0.0005 t=76495
xiang 	像	c=11 d=1.3479 t=40209
xiang 	向	c=3 d=0.0005 t=76495
xiang 	想	c=26 d=3.4589 t=40209
xiang 	翔	c=4 d=0.0005 t=76495
xiang 	響	c=0 d=0.0005 t=76495
xiang 	項	c=15 d=0.0125 t=76495
xiang 	项	c=0 d=0.0002 t=3923
xiang 	香	c=0 d=0.0011 t=40209
xiang ban fa 	想办法	c=1 d=0.0002 t=3923
xiang ban fa 	想辦法	c=4 d=0.2525 t=76495
xiang bu dao 	想不到	c=2 d=0.0005 t=76495
xiang bu tong 	想不通	c=2 d=0.0005 t=76495
xiang bu xiang 	想不想	c=0 d=0.0005 t=76495
