# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	76495
#@/user_id	rime-windows
a 	啊	c=34 d=0.00152301 t=76495
qing gong ye 	輕工業	c=1 d=4.06254e-80 t=76495
qing jiao 	青椒	c=1 d=5.55951e-06 t=76495
qing jing 	清淨	c=1 d=0.00339653 t=76495
qing kan 	請看	c=1 d=1.40218e-65 t=76495
qing kong 	清空	c=9 d=6.01826e-40 t=76495
qing kuang 	情況	c=79 d=1.69257 t=76495
qing le 	清了	c=1 d=2.19376e-66 t=76495
qing li 	清理	c=35 d=0.157528 t=76495
qing liang 	轻量	c=3 d=0.380983 t=76495
qing ling 	清零	c=1 d=1.82901e-15 t=76495
qing qing chu chu 	清清楚楚	c=1 d=9.14398e-07 t=76495
qing qiu 	請求	c=155 d=0.512663 t=76495
qing qiu ti 	請求體	c=1 d=1.85742e-108 t=76495
qing qiu tou 	請求頭	c=1 d=6.92029e-23 t=76495
qing se 	青澀	c=0 d=1.72103e-06 t=76495
qing se qing se 	青澀青澀	c=1 d=1.72966e-05 t=76495
qing sheng 	輕生	c=1 d=4.09025e-13 t=76495
qing song 	輕鬆	c=5 d=0.00364281 t=76495
qing wan 	清玩	c=0 d=2.01987e-66 t=76495
qing wan le 	清玩了	c=1 d=2.02999e-65 t=76495
qing wen 	請問	c=1 d=0.0368832 t=76495
qing wu 	請勿	c=1 d=1.27307e-105 t=76495
qing xiang 	傾向	c=2 d=0.00121867 t=76495
qing xu 	情緒	c=1 d=3.84276e-14 t=76495
qing yi 	輕易	c=1 d=6.79503e-14 t=76495
qing yi dian 	輕一點	c=1 d=9.21988e-16 t=76495
qing yue 	清越	c=1 d=1.12563e-98 t=76495
qing zai 	請在	c=1 d=1.43124e-71 t=76495
qing zhen 	清真	c=3 d=7.5617e-07 t=76495
qiong 	窮	c=1 d=1.05099e-85 t=76495
qiu 	瞅	c=0 d=0.0927743 t=76495
qiu he 	秋河	c=1 d=7.36174e-74 t=76495
qiu hou suan zhang 	秋後算賬	c=1 d=7.6692e-26 t=76495
qiu qiu 	求求	c=1 d=2.89532e-07 t=76495
qiu qiu 	瞅瞅	c=0 d=3.07436e-08 t=76495
qiu qiu ni le 	求求你了	c=1 d=8.99472e-78 t=76495
qiu qiu qiu 	瞅瞅瞅	c=1 d=3.08977e-07 t=76495
qiu tian 	秋天	c=1 d=7.40794e-30 t=76495
qiu tian 	秋田	c=1 d=7.371e-30 t=76495
qiu yi yan 	瞅一眼	c=1 d=7.9765e-47 t=76495
qu 	區	c=1 d=0.000458162 t=76495
qu 	去	c=102 d=2.62707 t=76495
qu 	取	c=66 d=1.1861 t=76495
qu a 	去啊	c=0 d=6.00681e-35 t=76495
qu bie 	區別	c=5 d=0.000261341 t=76495
qu bu dao 	取不到	c=1 d=0.637628 t=76495
qu chong 	去重	c=1 d=9.57238e-75 t=76495
qu chong 	驅蟲	c=1 d=7.08439e-34 t=76495
qu chu 	去除	c=2 d=2.53055e-11 t=76495
qu chu 	取出	c=4 d=2.72013e-08 t=76495
qu dao 	去到	c=3 d=0.377192 t=76495
qu dao 	取到	c=2 d=0.380983 t=76495
qu dao 	渠道	c=1 d=4.00789e-09 t=76495
qu dao de 	取到的	c=2 d=0.425283 t=76495
qu de 	取得	c=6 d=0.00406639 t=76495
qu de 	取的	c=1 d=4.80961e-66 t=76495
qu diao 	去掉	c=15 d=1.00584 t=76495
qu diao 	取掉	c=2 d=0.981434 t=76495
qu diao le 	去掉了	c=1 d=1.04682e-97 t=76495
qu dong 	驅動	c=14 d=7.08462e-05 t=76495
qu dui lie 	去隊列	c=1 d=1.18947e-100 t=76495
qu fen 	區分	c=14 d=0.447745 t=76495
qu fen le 	區分了	c=1 d=0.000166586 t=76495
qu guan 	取关	c=1 d=0.00396599 t=76495
qu jin 	趨近	c=1 d=8.41003e-52 t=76495
qu jue yu 	取決於	c=2 d=2.24363e-07 t=76495
qu kuai lian 	区块链	c=4 d=1.84645e-09 t=76495
qu le 	去了	c=14 d=0.579842 t=76495
qu na wan 	去哪玩	c=1 d=8.61148e-07 t=76495
qu nian 	去年	c=3 d=1.10668e-16 t=76495
qu nian xie 	去年寫	c=1 d=1.74521e-22 t=76495
qu shi 	去世	c=1 d=1.87372e-05 t=76495
qu shu ju 	取數據	c=1 d=2.32315e-05 t=76495
qu xiang 	趨向	c=1 d=0.203926 t=76495
qu xiao 	取消	c=23 d=0.767206 t=76495
qu xiao mai bu 	去小賣部	c=1 d=1.00553e-06 t=76495
qu xie 	去写	c=1 d=5.47954e-12 t=76495
qu ya 	去呀	c=1 d=7.97514e-45 t=76495
qu yi xia 	去一下	c=1 d=4.62353e-43 t=76495
qu yi xia 	取一下	c=5 d=0.00069264 t=76495
qu yu 	區域	c=1 d=9.44524e-06 t=76495
qu zhao 	去找	c=1 d=1.33388e-07 t=76495
qu zheng 	取整	c=3 d=0.0477106 t=76495
qu zi 	取自	c=1 d=2.74458e-25 t=76495
quan 	全	c=16 d=0.024234 t=76495
quan 	圈	c=4 d=0.0537944 t=76495
quan 	拳	c=2 d=0.790571 t=76495
quan 	權	c=4 d=8.61188e-97 t=76495
quan bu 	全不	c=1 d=1.17256e-108 t=76495
quan bu 	全部	c=33 d=0.00288998 t=76495
quan bu si liao 	全部私聊	c=1 d=3.197e-26 t=76495
quan bu you 	全部有	c=1 d=6.13839e-83 t=76495
quan cheng 	全程	c=2 d=0.00010569 t=76495
quan dou 	全都	c=1 d=2.20011e-100 t=76495
quan duan 	全段	c=1 d=2.86846e-15 t=76495
quan guo 	全國	c=1 d=2.24325e-05 t=76495
quan ji shou 	拳擊手	c=1 d=5.5796e-19 t=76495
quan jia tong 	全家桶	c=1 d=4.32933e-93 t=76495
quan ju 	全劇	c=1 d=1.31959e-86 t=76495
quan ju 	全局	c=44 d=0.295902 t=76495
quan kai 	全開	c=1 d=7.73442e-08 t=76495
quan kao 	全靠	c=1 d=0.955997 t=76495
quan ke bao 	圈客寶	c=2 d=6.56773e-42 t=76495
quan li 	權利	c=1 d=2.27514e-24 t=76495
quan liang 	全量	c=12 d=1.17282e-39 t=76495
quan liang 	圈量	c=23 d=1.92168 t=76495
quan lu jing 	全路径	c=1 d=4.86126e-74 t=76495
quan ni 	劝你	c=1 d=2.60168e-43 t=76495
quan ping 	全屏	c=1 d=1.36812e-11 t=76495
quan ping 	全憑	c=1 d=1.38521e-10 t=76495
quan qiu 	全球	c=1 d=3.58602e-24 t=76495
quan shi 	全是	c=11 d=0.704394 t=76495
quan tui 	勸退	c=1 d=5.4565e-80 t=76495
quan wen 	全文	c=1 d=1.1362e-61 t=76495
quan wu 	全無	c=0 d=3.27783e-56 t=76495
quan xian 	全線	c=3 d=4.77772e-05 t=76495
quan xian 	權限	c=67 d=0.122852 t=76495
quan xian biao 	权限表	c=1 d=8.09593e-16 t=76495
quan zhi 	全職	c=1 d=7.55839e-90 t=76495
quan zi 	圈子	c=2 d=7.63638e-05 t=76495
quan zi duan 	全字段	c=1 d=3.89184e-75 t=76495
que 	缺	c=1 d=1.62231e-104 t=76495
que bao 	確保	c=12 d=0.250324 t=76495
que ding 	確定	c=25 d=0.102797 t=76495
que ding le 	確定了	c=0 d=1.50176e-79 t=76495
que ding le ha 	確定了哈	c=1 d=1.50929e-78 t=76495
que ding le ma 	確定了嗎	c=1 d=3.09546e-58 t=76495
que ge 	缺個	c=1 d=6.46452e-45 t=76495
que le 	瘸了	c=2 d=2.67172e-32 t=76495
que le 	缺了	c=13 d=0.00312572 t=76495
que ren 	確認	c=25 d=0.000598433 t=76495
que ren xia 	確認下	c=2 d=3.20234e-75 t=76495
que sha 	缺啥	c=1 d=7.20761e-31 t=76495
que shao 	缺少	c=2 d=4.87664e-23 t=76495
que sheng 	缺省	c=2 d=1.07911e-63 t=76495
que shi 	確實	c=19 d=0.70782 t=76495
que shi 	缺失	c=10 d=0.160414 t=76495
que shui 	缺水	c=1 d=2.00222e-50 t=76495
que xian 	缺陷	c=2 d=0.000611253 t=76495
qun 	羣	c=434 d=0.10385 t=76495
qun chan 	踆躔	c=1 d=1.98594e-101 t=76495
qun cheng yuan 	羣成員	c=15 d=8.48615e-11 t=76495
qun er wei ma 	羣二維碼	c=1 d=2.98035e-24 t=76495
qun fa 	羣發	c=2 d=2.90321e-39 t=76495
qun gai 	群改	c=0 d=2.5448e-78 t=76495
qun gai gong gao 	群改公告	c=1 d=2.55756e-77 t=76495
qun gong gao 	羣公告	c=9 d=1.03773e-24 t=76495
qun li 	羣裏	c=13 d=3.38949e-08 t=76495
qun li mian 	群里面	c=1 d=9.57106e-44 t=76495
qun liang 	羣量	c=1 d=1.74118e-83 t=76495
qun liao 	羣聊	c=327 d=0.337714 t=76495
qun liao fa 	羣聊發	c=1 d=2.0255e-39 t=76495
qun liao ren wu 	羣聊任務	c=1 d=9.95827e-40 t=76495
qun liao shu 	羣聊數	c=1 d=2.57607e-103 t=76495
qun lie biao 	羣列表	c=16 d=1.79621e-08 t=76495
qun ming 	羣名	c=1 d=9.39722e-93 t=76495
qun ming cheng 	群名称	c=7 d=1.14586e-43 t=76495
qun nei 	羣內	c=12 d=1.68289e-06 t=76495
qun nei o 	羣內哦	c=1 d=2.2447e-42 t=76495
qun ou 	羣毆	c=0 d=3.28306e-16 t=76495
qun ou ye 	羣毆也	c=1 d=3.29952e-15 t=76495
qun ti 	羣體	c=0 d=1.52559e-29 t=76495
qun ti mian yi 	羣體免疫	c=1 d=1.53324e-28 t=76495
qun tou xiang 	群头像	c=5 d=4.33556e-67 t=76495
qun xiang guan 	羣相關	c=3 d=2.28881e-65 t=76495
qun xiao xi 	群消息	c=3 d=0.104874 t=76495
qun xin xi 	羣信息	c=3 d=1.42425e-99 t=76495
qun yao qing 	羣邀請	c=6 d=1.16385e-46 t=76495
qun ye 	羣也	c=1 d=2.1597e-29 t=76495
qun yuan 	羣員	c=1 d=4.62919e-28 t=76495
qun yuan 	羣袁	c=1 d=9.76742e-77 t=76495
qun zhe yi kuai 	羣这一块	c=2 d=5.98384e-19 t=76495
qun zhong 	羣中	c=3 d=5.72279e-23 t=76495
qun zhu 	群主	c=24 d=1.2987e-16 t=76495
ran 	然	c=1 d=1.97751e-51 t=76495
ran hou 	然後	c=106 d=0.831374 t=76495
ran hou le 	然後了	c=1 d=2.14892e-29 t=76495
ran hou ne 	然后呢	c=1 d=5.48292e-78 t=76495
ran you 	燃油	c=0 d=0.00330412 t=76495
ran you bao 	燃油寶	c=1 d=0.0332068 t=76495
rang 	瓤	c=1 d=1.80025e-05 t=76495
rang 	讓	c=51 d=0.440432 t=76495
rang dui fang 	讓對方	c=1 d=3.72249e-81 t=76495
rang hou duan 	讓後端	c=1 d=5.94723e-05 t=76495
rang ni 	讓你	c=4 d=0.0702988 t=76495
rang ni wu 	讓你無	c=2 d=0.000889368 t=76495
rang qi feng 	讓奇峯	c=1 d=2.6842e-28 t=76495
rang rang 	嚷嚷	c=1 d=4.04447e-57 t=76495
rang ta 	讓他	c=46 d=0.819856 t=76495
rang ta men 	让他们	c=2 d=4.98295e-12 t=76495
rang wo 	讓我	c=7 d=2.93908e-07 t=76495
rao 	繞	c=2 d=0.00946646 t=76495
rao dao 	繞到	c=1 d=1.8024e-19 t=76495
rao guo 	繞過	c=1 d=0.00771183 t=76495
rao yun 	繞暈	c=1 d=0.00960953 t=76495
re 	熱	c=3 d=5.45802e-07 t=76495
re ai 	熱愛	c=0 d=1.55752e-08 t=76495
re chong qi 	熱重啓	c=1 d=2.92662e-104 t=76495
re dian 	熱點	c=1 d=3.59568e-85 t=76495
re du 	熱度	c=1 d=7.20026e-19 t=76495
re guo 	熱鍋	c=1 d=2.81549e-31 t=76495
re men 	熱門	c=1 d=2.1992e-07 t=76495
re sou 	热搜	c=2 d=1.67793e-18 t=76495
re tu 	熱土	c=1 d=4.15123e-40 t=76495
ren 	人	c=63 d=0.821088 t=76495
ren ang ang ta 	人昂昂他	c=1 d=1.67097e-40 t=76495
ren bu duo 	人不多	c=1 d=8.24938e-31 t=76495
ren cai 	人才	c=1 d=0.431711 t=76495
ren dou 	人都	c=4 d=0.0596059 t=76495
ren duo 	人多	c=1 d=2.04935e-59 t=76495
ren fei le 	人廢了	c=1 d=4.49788e-13 t=76495
ren gong 	人工	c=5 d=5.30131e-14 t=76495
ren he 	人和	c=1 d=9.90628e-96 t=76495
ren he 	任何	c=14 d=0.733447 t=76495
ren jia 	人家	c=1 d=3.51429e-15 t=76495
ren jun 	人均	c=2 d=1.21991e-15 t=76495
ren lei 	人類	c=1 d=1.54759e-20 t=76495
ren li 	人力	c=1 d=3.61701e-37 t=76495
ren ling 	認領	c=1 d=0.000214973 t=76495
ren mai 	人脈	c=1 d=3.04377e-07 t=76495
ren mei shi 	人沒事	c=1 d=2.12004e-105 t=76495
ren min 	人民	c=1 d=1.99915e-32 t=76495
ren ming 	人名	c=2 d=1.98918e-32 t=76495
ren rou 	人肉	c=1 d=1.40998e-42 t=76495
ren sheng 	人生	c=2 d=0.00152616 t=76495
ren shi 	人士	c=3 d=1.07065e-09 t=76495
ren shi 	人是	c=1 d=3.0704e-80 t=76495
ren shi 	認識	c=2 d=0.000159256 t=76495
ren shou 	人獸	c=1 d=2.76363e-14 t=76495
ren shou 	忍受	c=1 d=2.52359e-08 t=76495
ren shou bu gou 	人手不夠	c=1 d=2.09609e-89 t=76495
ren shou za jiao 	人獸雜交	c=1 d=3.63712e-14 t=76495
ren shu 	人數	c=6 d=7.85483e-76 t=76495
ren ti 	人體	c=1 d=0.980199 t=76495
ren tou 	人頭	c=1 d=8.80133e-87 t=76495
ren wei 	人爲	c=2 d=0.008291 t=76495
ren wei 	認爲	c=10 d=1.93078e-05 t=76495
ren wei cuan gai 	人爲竄改	c=1 d=0.0833256 t=76495
ren wo 	认我	c=1 d=0.197899 t=76495
ren wu 	人物	c=1 d=0.348192 t=76495
ren wu 	任務	c=282 d=1.42988 t=76495
ren wu ji hua 	任务计划	c=1 d=1.95771e-109 t=76495
ren wu lei 	任務類	c=1 d=1.99501e-37 t=76495
ren wu liang 	任务量	c=1 d=1.67472e-37 t=76495
ren xing hua 	人性化	c=2 d=0.000982903 t=76495
ren yi 	任意	c=1 d=1.27562e-11 t=76495
ren ying 	人影	c=1 d=1.03186e-16 t=76495
ren yuan 	人員	c=5 d=0.511709 t=76495
ren yuan 	人緣	c=1 d=2.68703e-11 t=76495
ren zheng 	認證	c=3 d=3.41414e-05 t=76495
ren zhu 	忍住	c=2 d=0.00179213 t=76495
reng diao 	扔掉	c=1 d=9.23588e-07 t=76495
reng le 	扔了	c=1 d=1.58871e-05 t=76495
ri 	日	c=1 d=0.0393602 t=76495
ri ben 	日本	c=2 d=1.15086e-06 t=76495
ri chang 	日場	c=4 d=1.58003e-21 t=76495
ri chang 	日常	c=1 d=6.21548e-24 t=76495
ri guai 	日怪	c=2 d=0.00670434 t=76495
ri le 	日了	c=1 d=4.27083e-80 t=76495
ri li 	日曆	c=1 d=2.51836e-13 t=76495
ri qi 	日期	c=4 d=2.01061e-11 t=76495
ri qi 	日起	c=1 d=2.00058e-11 t=76495
ri zhi 	日誌	c=92 d=1.41103 t=76495
ri zhuan 	日賺	c=1 d=4.82073e-05 t=76495
rong 	榮	c=5 d=9.32711e-05 t=76495
rong duan 	熔斷	c=27 d=2.94108e-15 t=76495
rong ge 	榮哥	c=24 d=0.0327963 t=76495
rong ge 	榮格	c=1 d=1.14342e-106 t=76495
rong qi 	容器	c=2 d=0.00190171 t=76495
rong ren 	容忍	c=3 d=5.67743e-47 t=76495
rong ren du 	容忍度	c=1 d=0.00711891 t=76495
rong wo 	容我	c=1 d=3.31324e-05 t=76495
rong yi 	容易	c=1 d=3.71249e-20 t=76495
rong yi 	絨衣	c=1 d=3.69397e-20 t=76495
rong yu 	冗餘	c=3 d=5.93523e-06 t=76495
rong yuan 	蠑螈	c=5 d=1.24197e-10 t=76495
rong zi 	融資	c=1 d=5.59005e-41 t=76495
rou ma 	肉麻	c=1 d=4.02267e-111 t=76495
rou shen 	肉身	c=1 d=2.82693e-108 t=76495
rou song 	肉鬆	c=1 d=3.56388e-10 t=76495
rou yan 	肉眼	c=1 d=1.52786e-09 t=76495
rou yan ke jian 	肉眼可見	c=1 d=9.21674e-12 t=76495
ru 	入	c=15 d=7.26397e-05 t=76495
ru 	如	c=5 d=0.313486 t=76495
ru can 	入參	c=4 d=1.30405e-35 t=76495
ru cha 	乳茶	c=1 d=3.26071e-111 t=76495
ru ci 	如此	c=3 d=3.52362e-45 t=76495
ru dao 	入到	c=1 d=1.90651e-62 t=76495
ru dui 	入隊	c=0 d=3.73073e-108 t=76495
ru dui lie 	入隊列	c=1 d=3.74943e-107 t=76495
ru gu 	入股	c=0 d=2.08116e-06 t=76495
ru guo 	如果	c=78 d=0.145898 t=76495
ru guo 	辱國	c=1 d=5.08361e-12 t=76495
ru hao 	入號	c=2 d=4.34283e-62 t=76495
ru he 	如何	c=33 d=0.726149 t=76495
ru keng 	入坑	c=1 d=9.73454e-08 t=76495
ru kou 	入口	c=9 d=2.14714e-17 t=76495
ru ku 	入庫	c=17 d=0.965605 t=76495
ru le 	入了	c=1 d=4.95625e-37 t=76495
ru qun 	入群	c=33 d=1.95657e-14 t=76495
ru ruo 	如若	c=1 d=4.29443e-86 t=76495
ru shi 	入室	c=1 d=2.93858e-05 t=76495
ru shou 	入手	c=2 d=3.08162e-26 t=76495
ru shui 	入睡	c=2 d=0.970446 t=76495
ru xia 	如下	c=14 d=1.73863e-07 t=76495
ru yao 	入藥	c=1 d=6.86193e-41 t=76495
ru yi xia 	入一下	c=6 d=0.0468969 t=76495
ru yu 	入獄	c=1 d=2.00024e-09 t=76495
ru yu 	如遇	c=1 d=8.09731e-18 t=76495
ru zhi 	入職	c=7 d=4.3361e-06 t=76495
ru zhu 	入駐	c=0 d=2.7283e-103 t=76495
ru zuo 	如左	c=1 d=3.39054e-41 t=76495
ruan 	軟	c=1 d=4.12477e-53 t=76495
ruan jian 	軟件	c=9 d=0.909373 t=76495
ruan jian yuan 	軟件園	c=1 d=0.247833 t=76495
ruan mo ying pao 	軟磨硬泡	c=1 d=1.11556e-110 t=76495
ruan shan 	軟善	c=1 d=8.19096e-65 t=76495
ruan shan chu 	軟刪除	c=4 d=1.63421e-43 t=76495
rui long 	锐龙	c=1 d=0.527292 t=76495
ruo 	若	c=19 d=2.65346e-10 t=76495
ruo xiao 	弱小	c=1 d=2.2899e-100 t=76495
sa 	撒	c=0 d=5.18757e-104 t=76495
sa 	颯	c=2 d=1.62611e-15 t=76495
sa chu 	灑出	c=0 d=1.82082e-22 t=76495
sa dan 	撒旦	c=0 d=3.44904e-08 t=76495
sa fei 	薩菲	c=0 d=3.49213e-07 t=76495
sa huang 	撒謊	c=0 d=7.69142e-61 t=76495
sa huang nian chu 	撒謊年初	c=1 d=7.72997e-60 t=76495
sa ke 	薩克	c=0 d=6.80892e-39 t=76495
sai 	賽	c=0 d=3.0098e-23 t=76495
sai dao 	賽道	c=1 d=1.21689e-74 t=76495
sai ya feng 	塞牙縫	c=1 d=6.13715e-110 t=76495
san 	三	c=0 d=3.14586e-37 t=76495
san bai kuai 	三百塊	c=0 d=1.88877e-100 t=76495
san bian 	三遍	c=1 d=1.71123e-26 t=76495
san bo 	三波	c=1 d=2.54973e-41 t=76495
san bu fen 	三部分	c=1 d=4.52567e-56 t=76495
san ci 	三次	c=7 d=0.11626 t=76495
san dian 	三點	c=2 d=0.0780817 t=76495
san dian qian 	三點前	c=1 d=1.07138e-17 t=76495
san dian shui de 	三点睡的	c=0 d=5.74897e-107 t=76495
san fang 	三方	c=1 d=3.54818e-105 t=76495
san fen zhong 	三分鐘	c=2 d=0.0130791 t=76495
san ge 	三個	c=19 d=5.14546e-07 t=76495
san ge ren 	三個人	c=1 d=5.85869e-05 t=76495
san ge yue 	三個月	c=2 d=3.00826e-16 t=76495
san guo 	三國	c=1 d=0.394554 t=76495
san guo zhi 	三國志	c=2 d=0.241199 t=76495
san ju tou 	三巨頭	c=1 d=0.292293 t=76495
san lian 	三連	c=0 d=8.0679e-35 t=76495
san lun 	三輪	c=1 d=6.05274e-06 t=76495
san mian 	三面	c=1 d=3.76399e-35 t=76495
san miao 	三秒	c=2 d=2.4416e-19 t=76495
san miao hou 	三秒後	c=1 d=1.60245e-18 t=76495
san nian 	三年	c=1 d=0.0523397 t=76495
san pai 	三排	c=1 d=3.117e-22 t=76495
san qian 	三千	c=0 d=1.66241e-10 t=76495
san qian zhang 	三千丈	c=1 d=1.67074e-09 t=76495
san shi 	三是	c=2 d=0.236928 t=76495
san shi duo kuai 	三十多塊	c=1 d=9.5431e-39 t=76495
san shi fen 	三十分	c=0 d=0.0180866 t=76495
san shi fen zhong 	三十分鍾	c=2 d=0.419888 t=76495
san shi miao 	三十秒	c=1 d=3.26269e-30 t=76495
san si 	三四	c=0 d=3.20811e-09 t=76495
san si miao 	三四秒	c=1 d=8.40376e-102 t=76495
san si tiao 	三四條	c=1 d=3.15208e-36 t=76495
san si ye 	三四頁	c=1 d=3.22419e-08 t=76495
san tian 	三天	c=5 d=9.54017e-06 t=76495
san tian qian 	三天前	c=1 d=1.91548e-29 t=76495
san tiao 	三條	c=2 d=3.94767e-07 t=76495
san wu 	三五	c=1 d=0.00143728 t=76495
san wu ge 	三五个	c=1 d=2.01369e-29 t=76495
san wu shi 	三五十	c=1 d=3.98235e-22 t=76495
san xiao shi 	三小時	c=1 d=3.01749e-52 t=76495
san yue 	三月	c=1 d=0.285076 t=76495
san zhang 	三張	c=1 d=4.38072e-26 t=76495
san zhong 	三種	c=2 d=0.582748 t=76495
sang chong 	桑蟲	c=0 d=3.5953e-26 t=76495
sang xin 	丧心	c=1 d=2.94819e-14 t=76495
sang zi 	嗓子	c=1 d=5.5954e-111 t=76495
sao 	掃	c=3 d=3.19211e-09 t=76495
sao ji 	繅機	c=2 d=1.4601e-33 t=76495
sao ma 	扫码	c=0 d=3.37259e-09 t=76495
sao ma hao 	扫码號	c=2 d=3.38949e-08 t=76495
sao ma hao 	掃馬號	c=1 d=3.20811e-08 t=76495
sao miao 	掃描	c=1 d=4.17217e-11 t=76495
sao miao qi 	掃描器	c=1 d=4.08955e-11 t=76495
sao rao 	騷擾	c=1 d=8.95498e-26 t=76495
sao rao wo 	騷擾我	c=1 d=1.48277e-46 t=76495
sao wei 	臊味	c=0 d=1.80019e-35 t=76495
sao yi bo 	掃一撥	c=1 d=7.5335e-110 t=76495
sao zi 	嫂子	c=0 d=1.51118e-35 t=76495
se 	色	c=2 d=5.75577e-24 t=76495
se pi 	色批	c=2 d=1.30752e-58 t=76495
se se 	色色	c=1 d=0.0769192 t=76495
se se fa dou 	瑟瑟發抖	c=1 d=6.46342e-43 t=76495
sha 	啥	c=107 d=0.701287 t=76495
sha 	殺	c=2 d=0.538294 t=76495
sha 	紗	c=1 d=2.06291e-19 t=76495
sha a 	傻啊	c=1 d=3.47201e-85 t=76495
sha bi 	啥比	c=1 d=0.557106 t=76495
sha bi 	煞筆	c=2 d=0.137381 t=76495
sha diao 	傻掉	c=1 d=5.26468e-12 t=76495
sha diao 	殺掉	c=1 d=2.52256e-62 t=76495
sha dou 	啥都	c=2 d=1.72813e-24 t=76495
sha fa dian 	沙發墊	c=0 d=3.81724e-05 t=76495
sha fa dian sa fei 	沙發墊薩菲	c=1 d=3.50963e-06 t=76495
sha he 	沙盒	c=1 d=4.1941e-102 t=76495
sha le 	傻了	c=6 d=0.0156076 t=76495
sha le 	殺了	c=3 d=3.51609e-57 t=76495
sha ren 	啥人	c=1 d=9.85216e-61 t=76495
sha shi 	啥事	c=1 d=2.10788e-08 t=76495
sha shi hou 	啥時候	c=8 d=0.146607 t=76495
sha shi qing 	啥事情	c=1 d=9.94642e-26 t=76495
sha si 	殺死	c=1 d=6.31478e-34 t=76495
sha wen ti 	啥问题	c=1 d=0.0135686 t=76495
sha xun 	沙噀	c=1 d=2.43629e-35 t=76495
sha ya 	啥呀	c=2 d=4.23307e-05 t=76495
sha yang 	啥樣	c=6 d=2.4305e-07 t=76495
sha yang zi 	啥樣子	c=1 d=5.13191e-35 t=76495
sha ye 	啥也	c=7 d=0.19205 t=76495
sha ye mei you 	啥也沒有	c=1 d=8.50667e-10 t=76495
sha yi si 	啥意思	c=4 d=0.291844 t=76495
sha yu yan 	啥語言	c=1 d=9.43277e-108 t=76495
sha zhu 	殺豬	c=1 d=3.08651e-24 t=76495
sha zi 	傻子	c=1 d=0.00708341 t=76495
shai 	曬	c=2 d=2.62332e-34 t=76495
shai 	篩	c=1 d=2.05402e-27 t=76495
shai chu lai 	曬出來	c=1 d=4.51552e-59 t=76495
shai xuan 	篩選	c=13 d=0.0289148 t=76495
shai xuan qi 	筛选器	c=3 d=0.0096165 t=76495
shan 	刪	c=5 d=0.000341356 t=76495
shan chang 	擅長	c=1 d=1.47362e-32 t=76495
shan chu 	刪除	c=142 d=0.488938 t=76495
shan chu ju 	刪出具	c=1 d=5.1124e-49 t=76495
shan chu wan 	刪除玩	c=1 d=3.12082e-07 t=76495
shan cuo le 	刪錯了	c=1 d=2.46371e-49 t=76495
shan diao 	刪掉	c=3 d=6.51285e-15 t=76495
shan dong 	山東	c=1 d=2.4916e-05 t=76495
shan guo 	刪過	c=1 d=3.87124e-42 t=76495
shan le 	刪了	c=1 d=5.04503e-41 t=76495
shan lu 	山路	c=1 d=2.91687e-06 t=76495
shan shu ju 	刪數據	c=1 d=0.00343067 t=76495
shan xi 	山西	c=1 d=2.38196e-05 t=76495
shang 	上	c=165 d=1.31796 t=76495
shang 	商	c=2 d=0.336247 t=76495
shang an 	上岸	c=2 d=0.0010333 t=76495
shang ban 	上班	c=4 d=1.04945e-09 t=76495
shang bao 	上報	c=16 d=4.4621e-06 t=76495
shang bao le 	上報了	c=1 d=2.48028e-69 t=76495
shang ce shi 	上測試	c=1 d=1.51006e-84 t=76495
shang ce suo 	上廁所	c=1 d=1.56981e-70 t=76495
shang ceng 	上層	c=4 d=1.69898e-17 t=76495
shang chuan 	上傳	c=20 d=0.246597 t=76495
shang ci 	上次	c=32 d=1.13941e-06 t=76495
shang ci 	賞賜	c=1 d=2.27492e-111 t=76495
shang dan 	上单	c=2 d=2.51141e-21 t=76495
shang dao 	上到	c=1 d=7.05288e-11 t=76495
shang dian 	商店	c=1 d=0.715338 t=76495
shang gan 	傷感	c=1 d=0.481909 t=76495
shang ge 	上個	c=2 d=1.22881e-29 t=76495
shang ge yue 	上個月	c=4 d=4.26529e-06 t=76495
shang hai 	上海	c=4 d=0.348192 t=76495
shang hai 	傷害	c=2 d=0.418952 t=76495
shang hai shi 	上海市	c=1 d=2.30004e-05 t=76495
shang hao 	上号	c=2 d=0.0687289 t=76495
shang hao le 	上号了	c=1 d=2.28896e-07 t=76495
shang hu 	商戶	c=61 d=0.251363 t=76495
shang hu ming 	商戶名	c=1 d=4.52427e-23 t=76495
shang hu xia 	商戶下	c=2 d=2.97782e-14 t=76495
shang huo 	上火	c=0 d=8.19707e-16 t=76495
shang huo le 	上火了	c=1 d=8.23815e-15 t=76495
shang ji 	上級	c=1 d=1.58975e-42 t=76495
shang jia 	商家	c=8 d=6.70876e-05 t=76495
shang jin 	上進	c=1 d=2.46933e-17 t=76495
shang lai 	上來	c=10 d=0.0322264 t=76495
shang lai le 	上来了	c=1 d=1.10086e-101 t=76495
shang le 	上了	c=21 d=0.0106734 t=76495
shang le 	傷了	c=2 d=1.60846e-62 t=76495
shang le ma 	上了吗	c=1 d=1.1758e-111 t=76495
shang le ya 	上了呀	c=1 d=2.80966e-36 t=76495
shang liang 	商量	c=1 d=5.74738e-44 t=76495
shang men 	上門	c=1 d=4.24533e-39 t=76495
